,token,bridged_amount,bridged_transactions,bridged_amount_usd
0,DAI,21168.08625178043,26,21164.63585372139
1,FBTC,0.45843501999999997,93,47947.718741799996
2,SolvBTC,213.30672176945674,426,22205443.042922217
3,T,74600618.58065796,38,1111329.8910331766
4,USDC,225522.390962,1290,225480.66931967204
5,USDT,77632.193054,400,77632.193054
6,USDe,55055.62209942268,97,55165.73334362153
7,WBTC,98.90351074,6568,10312174.5473061
8,cbBTC,0.34825932,32,36351.65608092
9,swBTC,0.16054227000000001,25,17057.455645230002
10,tBTC,138.45623891570006,2550,14441816.45634101
11,xSolvBTC,63.98458565856107,494,6648958.218709374
